id,city,district,drainage_company,wwtp_name,treatment_capacity_10k_m3_per_day,annual_treatment_volume_10k_m3,treatment_process,advanced_treatment_process,disinfection_method,cod_influent_mg_l,cod_effluent_mg_l,bod5_influent_mg_l,bod5_effluent_mg_l,ss_influent_mg_l,ss_effluent_mg_l,nh3n_influent_mg_l,nh3n_effluent_mg_l,tn_influent_mg_l,tn_effluent_mg_l,tp_influent_mg_l,tp_effluent_mg_l,annual_electricity_consumption_kwh,sludge_treatment_process,treatment_process_standardized
21,苏州市,姑苏区,苏州市排水有限公司,苏州市排水有限公司城东污水处理厂,4.0,1459.99,AAO活性污泥法,V型滤池,次氯酸钠、紫外线消毒,204.0,14.8,106.0,1.92,93.0,5.0,18.8,0.28,26.2,5.61,2.69,0.13,4485300.0,A2O法,A2O
22,扬州市,广陵区,扬州市洁源排水有限公司,汤旺污水处理厂,26.0,9145.61,改良型CAST工艺+AAO,反硝化滤池+高效沉淀池,次氯酸钠消毒,191.0,15.0,88.6,3.0,110.0,6.0,30.1,0.37,34.7,8.21,3.23,0.19,23878061.0,SBR工艺+A2O法,Modified A2O
23,扬州市,广陵区,扬州市洁源排水有限公司,六圩污水处理厂,20.0,6848.81,水解酸化+氧化沟+活性砂滤、改良型AAO+高效沉淀池+转盘过滤器、改良型AAO+深床滤池,一期活性沙滤池，二期高密度沉淀池，三期反硝化深床滤池,次氯酸钠消毒,223.0,17.0,98.4,3.2,128.0,6.0,32.5,0.47,36.7,8.96,3.82,0.17,2362030.0,氧化沟+物理化学法,Modified A2O
24,扬州市,广陵区,扬州市洁源排水有限公司,北山污水处理厂,8.0,1467.11,改良型AAO工艺,反硝化滤池+高效沉淀池,次氯酸钠消毒,203.0,15.0,94.2,2.6,114.0,7.0,26.4,0.39,32.6,7.6,3.49,0.17,4615814.0,A2O法,Modified A2O
25,杭州市,上城区,杭州市排水有限公司,七格污水处理厂三期,60.0,16842.68,A2O,深床滤池,紫外线消毒,278.2,12.6,107.6,1.06,119.1,4.2,26.4,0.48,34.9,7.6,4.35,0.14,5285009.0,A2O法,A2O
26,杭州市,上城区,杭州市排水有限公司,七格污水处理厂四期,30.0,9437.51,A2O,深床滤池,紫外线消毒,262.8,13.2,104.3,0.67,105.2,37.0,25.3,0.18,33.8,6.8,4.02,0.1,3533603.0,A2O法,A2O
27,杭州市,上城区,杭州市排水有限公司,城西污水处理厂,10.0,3459.31,Bardenphop+MBBR,混凝、沉淀、过滤,紫外线消毒,352.8,10.0,117.5,1.0,154.1,1.6,30.7,0.11,38.4,4.7,3.88,0.06,21020400.0,A2O法+生物膜法,Bardenphop+MBBR
28,杭州市,富阳区,杭州富阳水务有限公司,杭州富阳水务有限公司富阳排水分公司,14.0,4804.25,氧化沟+多膜A2O,高效沉淀池+纤维转盘滤池,紫外线消毒+次氯酸钠消毒,231.5,19.8,107.6,2.1,47.0,6.0,17.7,0.82,21.87,8.95,1.57,0.11,18750320.0,氧化沟+A2O法,A2O
29,杭州市,富阳区,杭州富阳水务有限公司,杭州富阳水务有限公司新登排水分公司,2.9,1097.73,AO延时曝气+高效浅层气浮池+纤维转盘滤池+臭氧接触池,,紫外线消毒+次氯酸钠消毒,307.3,27.3,114.7,1.7,142.0,6.0,13.4,0.44,7.84,5.17,3.1,0.09,3996380.0,改进型A/O法+物理化学法,AO延时曝气+高效浅层气浮池+纤维转盘滤池+臭氧接触池
30,杭州市,富阳区,杭州富阳水务有限公司,杭州富阳水务有限公司场口排水分公司,1.0,151.7,AAO工艺,高密度沉淀+活性砂滤,次氯酸钠消毒+紫外线消毒,244.0,28.0,101.6,4.3,69.0,8.0,13.5,0.34,20.64,6.54,1.53,0.13,980657.0,A2O法,A2O
31,杭州市,富阳区,杭州富阳水务有限公司,杭州富阳水务有限公司大源污水厂,6.0,771.64,AAO+高密度沉淀,,次氯酸钠消毒,279.42,17.76,115.64,2.21,141.0,6.0,7.78,0.39,11.84,3.97,0.63,0.03,3856960.0,A2O法+物理化学法,A2O
32,杭州市,临安区,杭州临安排水有限公司,净水一厂,6.0,1916.44,三沟式氧化沟,高效植物脱氮除磷,次氯酸钠药剂,151.0,15.1,59.2,1.85,92.0,1.0,24.9,0.45,28.4,8.24,2.53,0.13,7669859.0,氧化沟,Oxidation Ditch
33,杭州市,临安区,杭州临安排水有限公司,净水二厂,4.0,1168.56,倒置A2O,高效絮凝沉淀池+纤维束滤池+湿地低碳处理系统,次氯酸钠药剂,188.0,16.1,83.9,0.96,94.0,2.0,22.5,0.2,25.7,5.68,2.36,0.11,4247901.0,A2O法,A2O
34,杭州市,临安区,杭州青山湖科技城排水有限公司,杭州青山湖科技城排水有限公司,4.0,888.64,初沉+NSBR,反硝化深床滤池+微絮凝+活性砂过滤,次氯酸钠,194.0,11.0,70.5,0.8,146.0,3.0,13.93,0.53,8.92,8.48,1.17,0.12,324345.0,SBR工艺,SBR
